date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:33:46	221/221	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2019%20Nov%202024%2011:34:39%20GMT	https://www.auxgitesdemaelle.com/robots.txt		(from )
12:33:46	38560/38560	---MCZ	200	added ('OK')	text/html	date:Tue,%2019%20Nov%202024%2011:34:40%20GMT	https://www.auxgitesdemaelle.com/	C:/Users/kerx29/Documents/projet-html-css/www.auxgitesdemaelle.com/index.html	(from )
12:33:46	19928/19928	---MCZ	200	added ('OK')	text/css	date:Tue,%2019%20Nov%202024%2011:34:40%20GMT	https://www.auxgitesdemaelle.com/style_color_2.css?202311171145	C:/Users/kerx29/Documents/projet-html-css/www.auxgitesdemaelle.com/style_color_2f9f8.css	(from https://www.auxgitesdemaelle.com/)
12:33:47	40194/40194	---MCZ	200	added ('OK')	text/html	date:Tue,%2019%20Nov%202024%2011:34:40%20GMT	https://www.auxgitesdemaelle.com/accueil_55850.html	C:/Users/kerx29/Documents/projet-html-css/www.auxgitesdemaelle.com/accueil_55850.html	(from https://www.auxgitesdemaelle.com/)
12:33:47	18816/18816	---MC-	200	added ('OK')	image/jpeg	date:Fri,%2016%20Aug%202024%2003:25:10%20GMT	https://www.cybevasion.fr/thumb/320x245/gites/france/44/55850_711171_21.jpg	C:/Users/kerx29/Documents/projet-html-css/www.cybevasion.fr/thumb/320x245/gites/france/44/55850_711171_21.jpg	(from https://www.auxgitesdemaelle.com/)
12:33:47	41755/41755	---MCZ	200	added ('OK')	text/html	date:Tue,%2019%20Nov%202024%2011:34:41%20GMT	https://www.auxgitesdemaelle.com/accueil_86264.html	C:/Users/kerx29/Documents/projet-html-css/www.auxgitesdemaelle.com/accueil_86264.html	(from https://www.auxgitesdemaelle.com/)
12:33:47	17516/17516	---MC-	200	added ('OK')	image/jpeg	date:Fri,%2008%20Nov%202024%2010:52:18%20GMT	https://www.cybevasion.fr/thumb/320x245/gites/france/44/86264_108_820.jpg	C:/Users/kerx29/Documents/projet-html-css/www.cybevasion.fr/thumb/320x245/gites/france/44/86264_108_820.jpg	(from https://www.auxgitesdemaelle.com/)
12:33:48	39614/39614	---MCZ	200	added ('OK')	text/html	date:Tue,%2019%20Nov%202024%2011:34:41%20GMT	https://www.auxgitesdemaelle.com/accueil_52547.html	C:/Users/kerx29/Documents/projet-html-css/www.auxgitesdemaelle.com/accueil_52547.html	(from https://www.auxgitesdemaelle.com/)
12:33:48	23948/23948	---MC-	200	added ('OK')	image/jpeg	date:Tue,%2011%20Jun%202024%2015:58:35%20GMT	https://www.cybevasion.fr/thumb/320x245/gites/france/44/52547_1127_927.jpg	C:/Users/kerx29/Documents/projet-html-css/www.cybevasion.fr/thumb/320x245/gites/france/44/52547_1127_927.jpg	(from https://www.auxgitesdemaelle.com/)
12:33:48	38383/38383	---MCZ	200	added ('OK')	text/html	date:Tue,%2019%20Nov%202024%2011:34:42%20GMT	https://www.auxgitesdemaelle.com/accueil_89543.html	C:/Users/kerx29/Documents/projet-html-css/www.auxgitesdemaelle.com/accueil_89543.html	(from https://www.auxgitesdemaelle.com/)
